0.4 0.528152 0.342345 0.657655 1 0 0 1 0 0 1 0 0 1 0 0 0.528152 0.342345 0.657655 
0.8 0.53134 0.340291 0.659709 1 0 0 1 0 0 1 0 0 1 0 0 0.53134 0.340291 0.659709 
1.2 0.534232 0.338455 0.661545 1 0 0 1 0 0 1 0 0 1 0 0 0.534232 0.338455 0.661545 
1.6 0.536013 0.337344 0.662656 1 0 0 1 0 0 1 0 0 1 0 0 0.536013 0.337344 0.662656 
2 0.53625 0.337213 0.662787 1 0 0 1 0 0 1 0 0 1 0 0 0.53625 0.337213 0.662787 
2.4 0.534989 0.338031 0.661969 1 0 0 1 0 0 1 0 0 1 0 0 0.534989 0.338031 0.661969 
2.8 0.532696 0.339514 0.660486 1 0 0 1 0 0 1 0 0 1 0 0 0.532696 0.339514 0.660486 
3.2 0.530093 0.341214 0.658786 1 0 0 1 0 0 1 0 0 1 0 0 0.530093 0.341214 0.658786 
3.6 0.527943 0.34264 0.65736 1 0 0 1 0 0 1 0 0 1 0 0 0.527943 0.34264 0.65736 
4 0.526843 0.343389 0.656611 1 0 0 1 0 0 1 0 0 1 0 0 0.526843 0.343389 0.656611 
4.4 0.527088 0.343262 0.656738 1 0 0 1 0 0 1 0 0 1 0 0 0.527088 0.343262 0.656738 
4.8 0.528605 0.342306 0.657693 1 0 0 1 0 0 1 0 0 1 0 0 0.528605 0.342306 0.657693 
5.2 0.530983 0.340801 0.659199 1 0 0 1 0 0 1 0 0 1 0 0 0.530983 0.340801 0.659199 
5.6 0.533567 0.339178 0.660822 1 0 0 1 0 0 1 0 0 1 0 0 0.533567 0.339178 0.660822 
6 0.535611 0.337916 0.662084 1 0 0 1 0 0 1 0 0 1 0 0 0.535611 0.337916 0.662084 
6.4 0.536471 0.337411 0.662589 1 0 0 1 0 0 1 0 0 1 0 0 0.536471 0.337411 0.662589 
6.8 0.5358 0.337878 0.662122 1 0 0 1 0 0 1 0 0 1 0 0 0.5358 0.337878 0.662122 
7.2 0.53369 0.339265 0.660735 1 0 0 1 0 0 1 0 0 1 0 0 0.53369 0.339265 0.660735 
7.6 0.530682 0.341239 0.658761 1 0 0 1 0 0 1 0 0 1 0 0 0.530682 0.341239 0.658761 
8 0.527641 0.343252 0.656748 1 0 0 1 0 0 1 0 0 1 0 0 0.527641 0.343252 0.656748 
8.4 0.525481 0.344699 0.655301 1 0 0 1 0 0 1 0 0 1 0 0 0.525481 0.344699 0.655301 
8.8 0.524863 0.345134 0.654866 1 0 0 1 0 0 1 0 0 1 0 0 0.524863 0.345134 0.654866 
9.2 0.525955 0.344444 0.655556 1 0 0 1 0 0 1 0 0 1 0 0 0.525955 0.344444 0.655556 
9.6 0.528383 0.342893 0.657107 1 0 0 1 0 0 1 0 0 1 0 0 0.528383 0.342893 0.657107 
10 0.531365 0.34101 0.65899 1 0 0 1 0 0 1 0 0 1 0 0 0.531365 0.34101 0.65899 
10.4 0.533987 0.339384 0.660616 1 0 0 1 0 0 1 0 0 1 0 0 0.533987 0.339384 0.660616 
10.8 0.535506 0.338477 0.661523 1 0 0 1 0 0 1 0 0 1 0 0 0.535506 0.338477 0.661523 
11.2 0.535558 0.338503 0.661497 1 0 0 1 0 0 1 0 0 1 0 0 0.535558 0.338503 0.661497 
11.6 0.534239 0.339399 0.660601 1 0 0 1 0 0 1 0 0 1 0 0 0.534239 0.339399 0.660601 
12 0.532034 0.340861 0.659139 1 0 0 1 0 0 1 0 0 1 0 0 0.532034 0.340861 0.659139 
12.4 0.529658 0.342444 0.657556 1 0 0 1 0 0 1 0 0 1 0 0 0.529658 0.342444 0.657556 
12.8 0.527838 0.343673 0.656327 1 0 0 1 0 0 1 0 0 1 0 0 0.527838 0.343673 0.656327 
13.2 0.527106 0.344191 0.655809 1 0 0 1 0 0 1 0 0 1 0 0 0.527106 0.344191 0.655809 
13.6 0.527675 0.343859 0.656141 1 0 0 1 0 0 1 0 0 1 0 0 0.527675 0.343859 0.656141 
14 0.529392 0.342785 0.657215 1 0 0 1 0 0 1 0 0 1 0 0 0.529392 0.342785 0.657215 
14.4 0.531806 0.341275 0.658725 1 0 0 1 0 0 1 0 0 1 0 0 0.531806 0.341275 0.658725 
14.8 0.534279 0.339747 0.660253 1 0 0 1 0 0 1 0 0 1 0 0 0.534279 0.339747 0.660253 
15.2 0.536143 0.33862 0.66138 1 0 0 1 0 0 1 0 0 1 0 0 0.536143 0.33862 0.66138 
15.6 0.536858 0.338225 0.661775 1 0 0 1 0 0 1 0 0 1 0 0 0.536858 0.338225 0.661775 
16 0.536164 0.338722 0.661278 1 0 0 1 0 0 1 0 0 1 0 0 0.536164 0.338722 0.661278 
16.4 0.534176 0.340041 0.659959 1 0 0 1 0 0 1 0 0 1 0 0 0.534176 0.340041 0.659959 
16.8 0.531395 0.341871 0.658129 1 0 0 1 0 0 1 0 0 1 0 0 0.531395 0.341871 0.658129 
17.2 0.528602 0.34372 0.65628 1 0 0 1 0 0 1 0 0 1 0 0 0.528602 0.34372 0.65628 
17.6 0.526622 0.345044 0.654956 1 0 0 1 0 0 1 0 0 1 0 0 0.526622 0.345044 0.654956 
18 0.52605 0.345446 0.654554 1 0 0 1 0 0 1 0 0 1 0 0 0.52605 0.345446 0.654554 
18.4 0.527035 0.344828 0.655172 1 0 0 1 0 0 1 0 0 1 0 0 0.527035 0.344828 0.655172 
18.8 0.529223 0.343437 0.656563 1 0 0 1 0 0 1 0 0 1 0 0 0.529223 0.343437 0.656563 
