264 -0.0511118 -0.641959 0.674065 0.590846 164.159 164.158 164.177 0.000795647 0.0088523 0.0239888 0.0178364 0.00880205 0.0239499 0.0178286 
272 -0.0558473 -0.625873 0.673506 0.570026 164.162 164.157 164.175 0.00490256 0.0028355 0.0280515 0.0137891 0.00278458 0.0280126 0.0137847 
280 -0.069792 -0.590767 0.683781 0.520975 164.165 164.156 164.173 0.00939008 -0.00413374 0.0288621 0.0101173 -0.00418499 0.0288275 0.0101145 
288 -0.0922966 -0.562242 0.705363 0.469946 164.168 164.156 164.17 0.0121512 -0.007414 0.0246361 0.00607766 -0.00746638 0.0246063 0.0060737 
296 -0.14045 -0.556333 0.735701 0.415883 164.169 164.158 164.165 0.011288 -0.00756783 0.0174445 0.00180338 -0.00762262 0.0174175 0.00179701 
304 -0.197335 -0.563829 0.753096 0.366494 164.167 164.162 164.162 0.0050549 -0.006146 0.00715559 -0.00396608 -0.00620298 0.0071299 -0.0039738 
312 -0.24169 -0.578996 0.747509 0.337306 164.158 164.166 164.166 -0.00757061 -0.00493493 -0.00080727 -0.00845571 -0.00499184 -0.000834126 -0.00846265 
320 -0.267876 -0.591827 0.728274 0.32395 164.153 164.169 164.17 -0.0158973 -0.00207988 -0.000841563 -0.00943906 -0.00213374 -0.000870797 -0.0094447 
328 -0.283422 -0.601231 0.732584 0.317809 164.155 164.167 164.171 -0.0117321 0.00137635 0.00486247 -0.00736623 0.00132383 0.00483315 -0.00737187 
336 -0.29649 -0.609974 0.753854 0.313485 164.16 164.166 164.171 -0.00603518 0.0031476 0.0100973 -0.00388718 0.003094 0.010069 -0.00389272 
344 -0.318253 -0.607056 0.782398 0.288803 164.162 164.169 164.167 -0.00696071 0.00150297 0.0127929 -0.00160947 0.00144685 0.0127654 -0.00161328 
352 -0.352028 -0.588537 0.805755 0.236509 164.162 164.171 164.162 -0.00914991 -0.00454852 0.0134651 6.93665e-05 -0.00460776 0.0134396 6.80553e-05 
360 -0.404998 -0.56096 0.818951 0.155962 164.162 164.172 164.16 -0.00942092 -0.0115072 0.0117649 0.000201074 -0.0115689 0.0117418 0.000204105 
368 -0.475432 -0.541697 0.821519 0.0662645 164.165 164.169 164.159 -0.00424506 -0.0160474 0.00804779 0.000326466 -0.0161082 0.00802463 0.000335288 
376 -0.546876 -0.536101 0.817897 -0.0107752 164.168 164.167 164.158 0.00103233 -0.0155064 0.0048073 0.000168387 -0.0155631 0.00478193 0.000180395 
384 -0.596522 -0.54296 0.809154 -0.0535624 164.169 164.165 164.156 0.00392861 -0.0121268 0.002751 5.86102e-05 -0.0121781 0.00272417 7.19268e-05 
392 -0.623146 -0.551535 0.795105 -0.0716107 164.169 164.164 164.158 0.00531271 -0.00793502 0.00281158 -0.00256748 -0.00798045 0.00278529 -0.00255291 
400 -0.635009 -0.568463 0.78478 -0.0665465 164.167 164.162 164.163 0.00489872 -0.0051527 0.0041956 -0.00611678 -0.00519452 0.00417093 -0.00610166 
408 -0.653641 -0.589951 0.773818 -0.0636895 164.162 164.161 164.171 0.00144066 -0.00246557 0.00589676 -0.00852529 -0.00250613 0.00587347 -0.00850887 
416 -0.675588 -0.614309 0.772344 -0.0612786 164.154 164.162 164.179 -0.0079144 0.00230794 0.00574621 -0.0106588 0.00226712 0.00572274 -0.0106401 
424 -0.706667 -0.625476 0.778461 -0.0811901 164.143 164.167 164.186 -0.0235347 0.00537619 0.00478242 -0.0134397 0.00533416 0.00475953 -0.0134188 
432 -0.743914 -0.634393 0.779503 -0.109521 164.135 164.171 164.191 -0.0359261 0.00561463 0.00250455 -0.0137154 0.00557265 0.00248299 -0.0136932 
