38 0.00809898 0.330409 0 0 0 0 0.00809898 
38.4 0.00810382 0.330325 0 0 0 0 0.00810382 
38.8 0.00808782 0.330245 0 0 0 0 0.00808782 
39.2 0.00805349 0.330173 0 0 0 0 0.00805349 
39.6 0.00800489 0.330114 0 0 0 0 0.00800489 
40 0.00794687 0.330071 0 0 0 0 0.00794687 
40.4 0.00788435 0.330046 0 0 0 0 0.00788435 
40.8 0.0078221 0.330039 0 0 0 0 0.0078221 
41.2 0.00776447 0.330051 0 0 0 0 0.00776447 
41.6 0.00771536 0.33008 0 0 0 0 0.00771536 
42 0.00767811 0.330123 0 0 0 0 0.00767811 
42.4 0.00765547 0.330176 0 0 0 0 0.00765547 
42.8 0.00764932 0.330235 0 0 0 0 0.00764932 
43.2 0.0076607 0.330296 0 0 0 0 0.0076607 
43.6 0.00768954 0.330355 0 0 0 0 0.00768954 
44 0.00773461 0.330404 0 0 0 0 0.00773461 
44.4 0.0077936 0.330439 0 0 0 0 0.0077936 
44.8 0.00786306 0.330454 0 0 0 0 0.00786306 
45.2 0.00793845 0.330445 0 0 0 0 0.00793845 
45.6 0.00801441 0.33041 0 0 0 0 0.00801441 
46 0.00808477 0.33035 0 0 0 0 0.00808477 
46.4 0.00814328 0.330267 0 0 0 0 0.00814328 
46.8 0.00818415 0.330169 0 0 0 0 0.00818415 
47.2 0.00820313 0.330062 0 0 0 0 0.00820313 
47.6 0.00819819 0.329955 0 0 0 0 0.00819819 
48 0.00817001 0.329856 0 0 0 0 0.00817001 
48.4 0.00812184 0.329772 0 0 0 0 0.00812184 
48.8 0.00805886 0.329708 0 0 0 0 0.00805886 
49.2 0.00798748 0.32967 0 0 0 0 0.00798748 
49.6 0.00791418 0.329658 0 0 0 0 0.00791418 
50 0.00784498 0.329673 0 0 0 0 0.00784498 
50.4 0.00778488 0.329711 0 0 0 0 0.00778488 
50.8 0.00773747 0.329769 0 0 0 0 0.00773747 
51.2 0.00770507 0.329842 0 0 0 0 0.00770507 
51.6 0.0076887 0.329923 0 0 0 0 0.0076887 
52 0.0076885 0.330007 0 0 0 0 0.0076885 
52.4 0.00770368 0.330086 0 0 0 0 0.00770368 
52.8 0.00773276 0.330156 0 0 0 0 0.00773276 
53.2 0.00777352 0.33021 0 0 0 0 0.00777352 
53.6 0.00782311 0.330242 0 0 0 0 0.00782311 
54 0.00787815 0.330249 0 0 0 0 0.00787815 
