0 -6.05665 -6.05332 -0.000262985 9.55117 9.55117 4.66914 -0.110844 -0.00892218 0.00919919 -0.110844 -0.00892218 0.00919918
1 -6.12829 -6.07687 0.00249711 9.5269 9.50437 4.58883 -0.11004 -0.0162145 0.014313 -0.11004 -0.0162145 0.014313
2 -6.21731 -6.1162 0.00544482 9.4807 9.43538 4.45978 -0.128151 -0.0238475 0.0196541 -0.128151 -0.0238475 0.0196541
3 -6.32412 -6.17097 0.0086379 9.41154 9.34353 4.28051 -0.166571 -0.0320245 0.0253977 -0.166571 -0.0320245 0.0253977
4 -6.44876 -6.24046 0.0121416 9.3181 9.22809 4.04928 -0.22749 -0.0409682 0.0317413 -0.22749 -0.0409682 0.0317413
5 -6.59071 -6.32349 0.0160201 9.19881 9.0884 3.76438 -0.313905 -0.0509169 0.0389111 -0.313905 -0.0509169 0.0389111
6 -6.74862 -6.41825 0.0203398 9.05191 8.92413 3.42441 -0.429574 -0.0621296 0.0471696 -0.429574 -0.0621296 0.0471696
7 -6.91995 -6.52212 0.0251747 8.87562 8.7356 3.02892 -0.578862 -0.0748894 0.056819 -0.578862 -0.0748894 0.056819
8 -7.10053 -6.63152 0.0305812 8.66835 8.5243 2.57907 -0.766431 -0.0894775 0.0682013 -0.766431 -0.0894775 0.0682013
9 -7.28401 -6.74177 0.0365919 8.42911 8.29344 2.07861 -0.996662 -0.106155 0.0816862 -0.996662 -0.106155 0.0816862
10 -7.46147 -6.84717 0.0431963 8.15803 8.04859 1.535 -1.27278 -0.125123 0.0976461 -1.27278 -0.125123 0.0976461
11 -7.62117 -6.94112 0.0503082 7.85718 7.7982 0.960502 -1.59559 -0.146468 0.116409 -1.59559 -0.146468 0.116409
12 -7.74886 -7.0167 0.0577321 7.53147 7.55378 0.373059 -1.96206 -0.170085 0.138188 -1.96206 -0.170085 0.138188
13 -7.82898 -7.06724 0.0651648 7.18955 7.32944 -0.203588 -2.36404 -0.195642 0.162991 -2.36404 -0.195642 0.162991
14 -7.84697 -7.08703 0.0721998 6.84453 7.14045 -0.740948 -2.78755 -0.222532 0.190528 -2.78755 -0.222532 0.190528
15 -7.79242 -7.07144 0.0784013 6.51389 7.00095 -1.2082 -3.21351 -0.249906 0.220139 -3.21351 -0.249906 0.220139
16 -7.66231 -7.01667 0.0834282 6.21829 6.92146 -1.57581 -3.61993 -0.276769 0.250806 -3.61993 -0.276769 0.250806
17 -7.46274 -6.91919 0.0871806 5.97899 6.90677 -1.81968 -3.98526 -0.302131 0.281241 -3.98526 -0.302131 0.281241
18 -7.20819 -6.77568 0.0898576 5.81437 6.95536 -1.92478 -4.29208 -0.325143 0.310069 -4.29208 -0.325143 0.310069
19 -6.91813 -6.58409 0.0919071 5.73626 7.06019 -1.88741 -4.52975 -0.345197 0.336044 -4.52975 -0.345197 0.336045
20 -6.61231 -6.34532 0.0938931 5.74769 7.21066 -1.71535 -4.69544 -0.361986 0.358253 -4.69544 -0.361986 0.358253
21 -6.30663 -6.06453 0.0962763 5.84241 7.39489 -1.42609 -4.79332 -0.375459 0.376226 -4.79332 -0.375459 0.376226
22 -6.01126 -5.7511 0.099313 6.0068 7.60138 -1.0436 -4.83266 -0.385791 0.389949 -4.83266 -0.385791 0.389949
23 -5.73085 -5.417 0.102996 6.22294 7.82018 -0.594594 -4.8254 -0.393286 0.399777 -4.8254 -0.393286 0.399777
24 -5.46604 -5.0745 0.107146 6.47199 8.0434 -0.104978 -4.78405 -0.398336 0.406311 -4.78405 -0.398336 0.406311
25 -5.21528 -4.73432 0.11148 6.7368 8.26509 0.402448 -4.7202 -0.401359 0.410257 -4.7202 -0.401359 0.410257
26 -4.97628 -4.40454 0.115724 7.00338 8.48109 0.909355 -4.64362 -0.402769 0.412326 -4.64362 -0.402769 0.412326
27 -4.7468 -4.0904 0.119638 7.26137 8.68865 1.40205 -4.56199 -0.402938 0.413158 -4.56199 -0.402938 0.413158
28 -4.52507 -3.79465 0.123076 7.50378 8.88604 1.87107 -4.48097 -0.402215 0.413295 -4.48097 -0.402215 0.413295
29 -4.30976 -3.51812 0.125946 7.72648 9.07232 2.31051 -4.40448 -0.400883 0.413162 -4.40448 -0.400883 0.413162
30 -4.09987 -3.26044 0.128206 7.92739 9.2471 2.71712 -4.33503 -0.399181 0.413084 -4.33503 -0.399181 0.413084
31 -3.89464 -3.02039 0.129856 8.10601 9.41039 3.08974 -4.27405 -0.397297 0.413294 -4.27405 -0.397297 0.413294
32 -3.69345 -2.79637 0.130912 8.26278 9.56241 3.42849 -4.22218 -0.395382 0.413951 -4.22218 -0.395382 0.413951
33 -3.49569 -2.58664 0.131407 8.39875 9.70361 3.73444 -4.17951 -0.393549 0.415163 -4.17951 -0.393549 0.415163
34 -3.3008 -2.38945 0.131366 8.51534 9.83452 4.00924 -4.14573 -0.391875 0.416983 -4.14573 -0.391875 0.416983
35 -3.10817 -2.20314 0.130821 8.61412 9.9557 4.25482 -4.12028 -0.390421 0.41944 -4.12028 -0.39042 0.41944
36 -2.91723 -2.02621 0.129792 8.69668 10.0677 4.47324 -4.10244 -0.389219 0.422532 -4.10243 -0.389219 0.422532
37 -2.72741 -1.85729 0.128297 8.76461 10.1712 4.66658 -4.09137 -0.38829 0.426239 -4.09137 -0.38829 0.426239
38 -2.53814 -1.69521 0.12635 8.81941 10.2666 4.83686 -4.0862 -0.387646 0.43053 -4.0862 -0.387646 0.430531
39 -2.34888 -1.53894 0.123958 8.8625 10.3544 4.98598 -4.08604 -0.387287 0.435361 -4.08604 -0.387287 0.435361
