0 1.48564 -2.69294 -3.2133  0.554846 14.5629 13.1441 13.2153   0.172895 0.873198 -0.0622203 0.813349 0.867112 -0.0690462 0.811826
1 1.46663 -2.72387 -3.23884  0.555998 14.5567 13.1495 13.2113   0.172043 0.891877 -0.0735886 0.799245 0.885831 -0.0803631 0.797783
2 1.45295 -2.75374 -3.26975  0.558088 14.5492 13.1548 13.2093   0.17089 0.9094 -0.0841514 0.785179 0.903404 -0.0908737 0.783775
3 1.44556 -2.78077 -3.30339  0.560955 14.5404 13.1597 13.2095   0.169476 0.925966 -0.0932729 0.771423 0.920032 -0.0999422 0.770077
4 1.44377 -2.80441 -3.33784  0.564362 14.5306 13.1641 13.2118   0.16783 0.941802 -0.100712 0.758072 0.935938 -0.107326 0.756785
5 1.44432 -2.82555 -3.37181  0.567876 14.5199 13.168 13.2158   0.166001 0.956968 -0.106611 0.745163 0.951184 -0.113168 0.743936
6 1.44273 -2.84569 -3.4042  0.570959 14.5086 13.1716 13.2208   0.16405 0.971422 -0.111376 0.73278 0.965727 -0.117872 0.731615
7 1.43643 -2.86585 -3.43462  0.573333 14.497 13.1753 13.2267   0.161997 0.985151 -0.115474 0.72103 0.979554 -0.121903 0.719931
8 1.42616 -2.88647 -3.46441  0.575201 14.4847 13.1792 13.2335   0.159803 0.998173 -0.119279 0.709981 0.992681 -0.125638 0.70895
9 1.41504 -2.90754 -3.49633  0.577122 14.4717 13.1833 13.2412   0.157424 1.01045 -0.122952 0.69968 1.00507 -0.129238 0.698723
10 1.40603 -2.92869 -3.53294  0.579606 14.4579 13.1877 13.2501   0.154867 1.02198 -0.126385 0.690154 1.01672 -0.132594 0.689272
11 1.39926 -2.95012 -3.57495  0.582725 14.4436 13.1921 13.2601   0.152182 1.03303 -0.129381 0.681351 1.0279 -0.135512 0.680548
12 1.39275 -2.97331 -3.62077  0.586224 14.429 13.1965 13.271   0.149407 1.044 -0.131847 0.6732 1.039 -0.137897 0.672478
13 1.38569 -3.00033 -3.66708  0.589924 14.4142 13.2012 13.2826   0.146534 1.05513 -0.133719 0.665804 1.05027 -0.139686 0.665164
14 1.37908 -3.03283 -3.71025  0.593828 14.3988 13.2062 13.2949   0.143526 1.06644 -0.134963 0.659492 1.06172 -0.140843 0.658938
15 1.37377 -3.07218 -3.7486  0.59802 14.3827 13.2119 13.3081   0.140338 1.07778 -0.1358 0.654592 1.07321 -0.14159 0.654128
16 1.36968 -3.12006 -3.78392  0.602709 14.3656 13.2181 13.3225   0.136911 1.08895 -0.136762 0.651176 1.08453 -0.142458 0.650804
17 1.367 -3.17778 -3.82057  0.608272 14.3472 13.2249 13.3385   0.133188 1.09976 -0.138453 0.649032 1.09551 -0.144051 0.648757
18 1.36649 -3.24517 -3.86242  0.615036 14.3275 13.2325 13.3559   0.129161 1.11014 -0.141254 0.647821 1.10605 -0.146752 0.647646
19 1.36864 -3.31987 -3.91018  0.622958 14.3067 13.241 13.3742   0.124891 1.12023 -0.145141 0.647197 1.11631 -0.150537 0.647123
20 1.37314 -3.39885 -3.96159  0.63167 14.2852 13.2505 13.3925   0.120459 1.13033 -0.149766 0.646906 1.12657 -0.155059 0.646932
21 1.38015 -3.48008 -4.01355  0.64087 14.2632 13.2612 13.4104   0.115921 1.14055 -0.154638 0.64694 1.13696 -0.159828 0.647064
22 1.39035 -3.56306 -4.06325  0.650438 14.2409 13.2728 13.4279   0.111315 1.15069 -0.159328 0.647618 1.14725 -0.164413 0.647838
23 1.40285 -3.64933 -4.10848  0.66022 14.2185 13.2849 13.4449   0.106708 1.16036 -0.163804 0.649376 1.15707 -0.168784 0.649687
24 1.41505 -3.74184 -4.14807  0.670001 14.1966 13.2971 13.4615   0.102155 1.16921 -0.168512 0.652442 1.16607 -0.173385 0.652844
25 1.42532 -3.8427 -4.18244  0.679737 14.1749 13.3097 13.4777   0.0976431 1.17707 -0.173994 0.656712 1.17408 -0.178758 0.657201
26 1.43424 -3.95183 -4.21366  0.689624 14.1532 13.3229 13.4936   0.0931234 1.18395 -0.180502 0.661806 1.1811 -0.18516 0.662379
27 1.44373 -4.06665 -4.24466  0.699923 14.1314 13.3367 13.5089   0.0885705 1.18999 -0.18784 0.667179 1.18728 -0.192393 0.667833
28 1.45541 -4.18254 -4.27789  0.710703 14.1094 13.3514 13.5234   0.0840042 1.19545 -0.195488 0.672224 1.19287 -0.199938 0.672952
29 1.46934 -4.29512 -4.31375  0.721723 14.0872 13.3668 13.5366   0.0794449 1.20051 -0.203042 0.676401 1.19805 -0.207393 0.677195
