38 -1.43477 -1.09508 0.0243169   8.13268 8.2887 7.45288 -0.719945 -0.0360113 0.0395461 -0.719602 -0.0360045 0.039557
39 -1.43558 -1.07123 0.0257082   8.1393 8.30119 7.4553 -0.728155 -0.0372682 0.0410553 -0.727766 -0.0372603 0.0410681
40 -1.44014 -1.05497 0.0270991   8.14656 8.31451 7.45832 -0.736417 -0.0385313 0.0425822 -0.735987 -0.0385224 0.0425967
41 -1.44779 -1.04618 0.0284699   8.15434 8.32847 7.462 -0.744519 -0.0397883 0.0441131 -0.744057 -0.0397786 0.0441292
42 -1.45793 -1.04462 0.0298027   8.16248 8.34287 7.46639 -0.752236 -0.0410256 0.0456324 -0.751749 -0.0410151 0.0456498
43 -1.46999 -1.04997 0.0310819   8.17081 8.35745 7.47152 -0.759332 -0.0422277 0.0471225 -0.758829 -0.0422168 0.047141
44 -1.48346 -1.06177 0.0322958   8.17916 8.37194 7.47742 -0.76558 -0.0433793 0.0485651 -0.765069 -0.0433681 0.0485842
45 -1.49791 -1.0795 0.0334367   8.18735 8.38608 7.48409 -0.770761 -0.0444648 0.0499413 -0.770253 -0.0444534 0.0499609
46 -1.51294 -1.10251 0.0345011   8.19521 8.39959 7.49151 -0.774684 -0.0454694 0.0512332 -0.774189 -0.0454581 0.0512527
47 -1.52822 -1.13006 0.0354893   8.20258 8.41224 7.49964 -0.77719 -0.0463797 0.052424 -0.776718 -0.0463688 0.052443
48 -1.54347 -1.16136 0.036406   8.20933 8.42381 7.50844 -0.77816 -0.0471845 0.0534993 -0.777721 -0.0471742 0.0535174
49 -1.55844 -1.19554 0.0372584   8.21534 8.43412 7.51785 -0.77752 -0.0478752 0.0544475 -0.777124 -0.0478658 0.0544641
50 -1.5729 -1.23173 0.0380569   8.22052 8.44305 7.52778 -0.775243 -0.0484458 0.0552603 -0.7749 -0.0484376 0.055275
51 -1.58668 -1.26905 0.038813   8.22482 8.45049 7.53814 -0.771346 -0.0488937 0.0559329 -0.771066 -0.048887 0.0559452
52 -1.5996 -1.30664 0.0395394   8.22822 8.45643 7.54886 -0.765892 -0.0492191 0.0564642 -0.765684 -0.049214 0.0564735
53 -1.61151 -1.34367 0.0402487   8.23071 8.46086 7.55984 -0.75898 -0.049425 0.0568564 -0.75885 -0.0494218 0.0568623
54 -1.62227 -1.37942 0.0409527   8.23234 8.46384 7.57098 -0.750739 -0.049517 0.0571148 -0.750694 -0.0495159 0.0571169
55 -1.63174 -1.4132 0.0416621   8.23314 8.46544 7.58221 -0.741321 -0.0495028 0.0572472 -0.741367 -0.0495039 0.0572451
56 -1.6398 -1.44444 0.0423857   8.23318 8.46578 7.59344 -0.730893 -0.0493916 0.0572636 -0.731032 -0.0493951 0.0572569
57 -1.64632 -1.47264 0.04313   8.23255 8.46497 7.60459 -0.719631 -0.0491937 0.0571753 -0.719865 -0.0491997 0.0571639
58 -1.65119 -1.49741 0.0438994   8.23132 8.46317 7.6156 -0.707709 -0.0489203 0.0569948 -0.708038 -0.0489287 0.0569784
59 -1.65428 -1.51844 0.044696   8.22958 8.46051 7.62643 -0.695298 -0.0485826 0.0567347 -0.695719 -0.0485934 0.0567134
60 -1.6555 -1.53551 0.0455193   8.22742 8.45713 7.63701 -0.682557 -0.0481916 0.056408 -0.683067 -0.0482048 0.0563818
61 -1.65473 -1.54849 0.0463673   8.22491 8.45317 7.64731 -0.669633 -0.0477581 0.056027 -0.670228 -0.0477735 0.0559959
62 -1.65189 -1.5573 0.0472358   8.22214 8.44875 7.6573 -0.656659 -0.047292 0.0556033 -0.657332 -0.0473095 0.0555675
63 -1.64689 -1.56195 0.0481193   8.21918 8.444 7.66695 -0.64375 -0.0468024 0.0551477 -0.644494 -0.0468219 0.0551075
64 -1.63966 -1.56248 0.0490112   8.21607 8.43902 7.67626 -0.631003 -0.0462976 0.05467 -0.631812 -0.0463187 0.0546256
65 -1.63016 -1.55899 0.0499044   8.21289 8.43389 7.6852 -0.618504 -0.0457847 0.0541789 -0.619369 -0.0458074 0.0541308
66 -1.61834 -1.5516 0.0507907   8.20967 8.4287 7.69377 -0.606318 -0.0452702 0.0536822 -0.607231 -0.0452941 0.0536307
67 -1.60416 -1.54046 0.0516621   8.20645 8.42352 7.70197 -0.594499 -0.0447593 0.0531865 -0.595451 -0.0447843 0.0531319
68 -1.58761 -1.52576 0.0525103   8.20326 8.41839 7.7098 -0.583089 -0.0442567 0.0526973 -0.584072 -0.0442824 0.05264
69 -1.56869 -1.50768 0.0533269   8.20012 8.41337 7.71727 -0.572117 -0.043766 0.0522193 -0.573123 -0.0437923 0.0521599
70 -1.5474 -1.4864 0.0541042   8.19706 8.40849 7.72438 -0.561603 -0.0432902 0.0517565 -0.562624 -0.0433168 0.0516952
71 -1.52376 -1.46214 0.054835   8.19409 8.40377 7.73113 -0.551561 -0.0428319 0.051312 -0.552589 -0.0428586 0.0512493
72 -1.49781 -1.43507 0.0555125   8.19122 8.39925 7.73754 -0.541995 -0.0423928 0.0508883 -0.543024 -0.0424195 0.0508246
73 -1.46958 -1.4054 0.0561303   8.18845 8.39493 7.74362 -0.532908 -0.0419745 0.0504873 -0.533931 -0.0420008 0.050423
74 -1.43911 -1.37331 0.056683   8.18579 8.39082 7.74938 -0.524295 -0.0415778 0.0501106 -0.525305 -0.0416038 0.0500461
75 -1.40646 -1.33898 0.0571656   8.18324 8.38694 7.75482 -0.516148 -0.0412037 0.0497592 -0.51714 -0.0412289 0.0496948
76 -1.37167 -1.30258 0.0575734   8.18081 8.38328 7.75996 -0.508458 -0.0408525 0.0494339 -0.509427 -0.0408769 0.04937
77 -1.33482 -1.26427 0.0579029   8.17848 8.37984 7.76481 -0.501214 -0.0405245 0.0491352 -0.502155 -0.040548 0.0490721
78 -1.29596 -1.2242 0.0581507   8.17627 8.37663 7.76938 -0.494403 -0.0402199 0.0488636 -0.495313 -0.0402423 0.0488016
79 -1.25516 -1.1825 0.0583141   8.17416 8.37364 7.77367 -0.488012 -0.0399385 0.048619 -0.488885 -0.0399598 0.0485584
80 -1.2125 -1.13932 0.0583909   8.17215 8.37087 7.77771 -0.482026 -0.0396804 0.0484016 -0.482861 -0.0397004 0.0483426
81 -1.16803 -1.09477 0.058379   8.17024 8.36831 7.78149 -0.476431 -0.0394453 0.0482111 -0.477224 -0.0394639 0.0481541
82 -1.12185 -1.04897 0.0582777   8.16843 8.36597 7.78503 -0.471213 -0.0392329 0.0480476 -0.471962 -0.0392501 0.0479926
83 -1.07401 -1.00203 0.0580864   8.1667 8.36382 7.78834 -0.466358 -0.0390431 0.0479107 -0.467061 -0.0390588 0.0478581
84 -1.0246 -0.954027 0.0578044   8.16507 8.36187 7.79141 -0.461852 -0.0388755 0.0478003 -0.462508 -0.0388896 0.0477501
85 -0.973701 -0.905067 0.0574317   8.16352 8.36011 7.79427 -0.457683 -0.0387298 0.0477161 -0.45829 -0.0387424 0.0476685
86 -0.921381 -0.85523 0.0569688   8.16204 8.35854 7.79691 -0.453837 -0.0386057 0.0476578 -0.454396 -0.0386168 0.047613
87 -0.867725 -0.804592 0.0564167   8.16065 8.35714 7.79935 -0.450304 -0.0385031 0.0476254 -0.450814 -0.0385127 0.0475834
88 -0.81281 -0.753228 0.0557763   8.15932 8.35593 7.80159 -0.447071 -0.0384218 0.0476185 -0.447532 -0.0384298 0.0475794
