36 2.56339 -5.61356 -5.84498  8.17695 14.3403 13.6858 13.8704   0.65447 1.38518 -0.239204 0.844677 1.38169 -0.244055 0.8445
37 2.62692 -5.73682 -5.84591  8.36374 14.3185 13.706 13.8783   0.612515 1.38093 -0.250424 0.84478 1.37753 -0.255225 0.844623
38 2.6931 -5.85794 -5.84608  8.55104 14.2968 13.7264 13.8852   0.570404 1.37529 -0.261655 0.842741 1.37196 -0.266418 0.842595
39 2.76049 -5.97324 -5.84253  8.73373 14.2752 13.7469 13.8911   0.528289 1.3682 -0.272583 0.83844 1.36494 -0.277322 0.838299
40 2.82991 -6.08066 -5.83301  8.91057 14.2539 13.7673 13.8962   0.486648 1.35953 -0.28291 0.832341 1.35633 -0.28764 0.832199
41 2.90224 -6.18088 -5.81612  9.08312 14.2335 13.7868 13.9008   0.446633 1.34912 -0.292482 0.825124 1.34597 -0.297217 0.824974
42 2.97685 -6.27699 -5.79167  9.25384 14.2144 13.8047 13.9055   0.409743 1.33688 -0.301319 0.81718 1.33377 -0.306074 0.817015
43 3.05269 -6.37179 -5.76107  9.42449 14.1971 13.82 13.9111   0.377129 1.32287 -0.309357 0.808487 1.31981 -0.314149 0.808299
44 3.12902 -6.46555 -5.7271  9.59457 14.1816 13.8323 13.918   0.349319 1.30736 -0.316171 0.798872 1.30433 -0.321017 0.798655
45 3.20469 -6.55586 -5.6931  9.76056 14.1678 13.8413 13.9267   0.326475 1.2908 -0.321007 0.788255 1.2878 -0.325923 0.788002
46 3.27774 -6.6392 -5.66161  9.91694 14.1555 13.847 13.9373   0.30856 1.27377 -0.323057 0.776785 1.2708 -0.328058 0.776491
47 3.34597 -6.71297 -5.63325  10.0589 14.1449 13.8494 13.9496   0.295454 1.25673 -0.321875 0.764792 1.25379 -0.326979 0.76445
48 3.40811 -6.77599 -5.60655  10.1841 14.1358 13.8488 13.9633   0.286992 1.23991 -0.317597 0.752658 1.237 -0.322818 0.752262
49 3.46452 -6.8281 -5.57809  10.2926 14.1284 13.8454 13.9785   0.282997 1.22328 -0.310882 0.740744 1.22039 -0.316235 0.740289
50 3.51696 -6.87056 -5.54388  10.3875 14.1226 13.8392 13.9951   0.283483 1.20666 -0.302593 0.729305 1.20378 -0.308093 0.728787
51 3.56794 -6.90526 -5.50214  10.4732 14.1187 13.8301 14.0132   0.288605 1.18985 -0.293294 0.718446 1.18698 -0.298953 0.71786
52 3.61979 -6.93322 -5.45475  10.553 14.1164 13.8179 14.0331   0.298481 1.17273 -0.282989 0.708094 1.16987 -0.288821 0.707434
53 3.67377 -6.95445 -5.40608  10.6282 14.1158 13.8027 14.0548   0.313087 1.15531 -0.271289 0.698007 1.15245 -0.277306 0.697268
54 3.72985 -6.96846 -5.35995  10.6983 14.1166 13.7844 14.0782   0.332174 1.13773 -0.257738 0.687891 1.13489 -0.263949 0.687067
55 3.78684 -6.9748 -5.31643  10.7616 14.1187 13.7636 14.1026   0.355159 1.12027 -0.242134 0.677594 1.11744 -0.248545 0.676681
56 3.84331 -6.97341 -5.27197  10.8167 14.122 13.7408 14.1276   0.38114 1.10315 -0.224664 0.667238 1.10032 -0.231282 0.666234
57 3.89905 -6.96345 -5.2231  10.8625 14.126 13.7169 14.1526   0.409008 1.08648 -0.205802 0.657204 1.08366 -0.212628 0.656105
58 3.95534 -6.94258 -5.1694  10.8979 14.1304 13.6926 14.1774   0.437829 1.07029 -0.186179 0.648 1.06748 -0.193215 0.646805
59 4.01333 -6.90913 -5.11344  10.9225 14.1353 13.668 14.202   0.4673 1.0546 -0.166417 0.639998 1.0518 -0.173664 0.638704
60 4.07279 -6.86404 -5.05879  10.9368 14.1406 13.6428 14.227   0.497781 1.03942 -0.146835 0.633247 1.03661 -0.15429 0.631851
61 4.13276 -6.80969 -5.00839  10.9424 14.1462 13.6165 14.253   0.529698 1.02477 -0.127319 0.627611 1.02196 -0.134981 0.626108
62 4.19231 -6.74781 -4.96402  10.9401 14.1521 13.5891 14.2801   0.563046 1.01078 -0.107487 0.623043 1.00798 -0.115349 0.621431
63 4.25013 -6.67922 -4.92607  10.9293 14.1582 13.5609 14.3081   0.597263 0.997691 -0.0869546 0.619721 0.994892 -0.095008 0.618
64 4.30414 -6.60453 -4.89376  10.9087 14.1643 13.5329 14.3358   0.631455 0.985745 -0.0656081 0.617933 0.982951 -0.0738416 0.616103
65 4.35223 -6.52455 -4.866  10.8768 14.1705 13.5059 14.3621   0.664681 0.975105 -0.0437493 0.617838 0.97232 -0.0521495 0.615904
66 4.39326 -6.43999 -4.84169  10.8333 14.1768 13.4806 14.3862   0.696163 0.965847 -0.0220486 0.619389 0.963076 -0.0306006 0.617353
67 4.42777 -6.35169 -4.81891  10.7795 14.183 13.4575 14.408   0.725503 0.958023 -0.00136109 0.622402 0.955269 -0.0100499 0.620269
68 4.45784 -6.26069 -4.79491  10.7185 14.189 13.4363 14.4279   0.752675 0.951688 0.017594 0.626646 0.948955 0.00878376 0.624418
69 4.48551 -6.16755 -4.76824  10.6531 14.1947 13.4169 14.4464   0.777775 0.946821 0.0345772 0.631928 0.944114 0.0256612 0.629607
70 4.51125 -6.0719 -4.74075  10.5832 14.2 13.3993 14.4635   0.800757 0.943328 0.0498473 0.638196 0.940652 0.0408429 0.635784
71 4.53388 -5.97334 -4.71692  10.5072 14.2051 13.3837 14.4785   0.821356 0.941151 0.0639024 0.645508 0.938512 0.0548289 0.643011
72 4.55136 -5.87213 -4.701  10.4235 14.2099 13.3707 14.4907   0.839163 0.940305 0.0771845 0.653841 0.93771 0.0680627 0.651265
73 4.56182 -5.76868 -4.69361  10.3305 14.2145 13.3607 14.4993   0.853822 0.940756 0.0898137 0.662822 0.938211 0.0806648 0.660176
74 4.56487 -5.6631 -4.69119  10.228 14.2189 13.3538 14.5042   0.865108 0.942242 0.101503 0.671742 0.939751 0.092348 0.669034
75 4.56231 -5.55501 -4.68894  10.1173 14.2228 13.3499 14.5058   0.872984 0.944284 0.111738 0.679942 0.941853 0.102596 0.677181
76 4.55757 -5.44339 -4.68431  10.001 14.2263 13.3486 14.5047   0.877616 0.946423 0.120026 0.687135 0.944056 0.110916 0.684328
77 4.55298 -5.32733 -4.67826  9.88031 14.2291 13.3497 14.5013   0.879389 0.948397 0.126129 0.693326 0.946102 0.117069 0.69048
78 4.54797 -5.20739 -4.67412  9.75536 14.2316 13.3528 14.4961   0.878753 0.950103 0.130165 0.698587 0.947886 0.121174 0.695707
79 4.54055 -5.08527 -4.67558  9.62582 14.2336 13.3577 14.4889   0.875937 0.951525 0.132498 0.703001 0.949395 0.123598 0.700094
80 4.52934 -4.96259 -4.68503  9.49193 14.2353 13.3645 14.4796   0.870782 0.952711 0.133582 0.706728 0.950677 0.124792 0.703801
81 4.51366 -4.84027 -4.70243  9.35393 14.2366 13.3736 14.468   0.863014 0.953676 0.133818 0.709919 0.951744 0.125157 0.706978
82 4.4928 -4.71877 -4.72534  9.21158 14.2376 13.3848 14.4541   0.852767 0.954275 0.133474 0.712498 0.952451 0.124963 0.709552
83 4.46634 -4.59807 -4.75049  9.06441 14.2387 13.3979 14.438   0.840782 0.954186 0.132692 0.71411 0.952475 0.124347 0.711165
84 4.43472 -4.47805 -4.7751  8.91277 14.2401 13.412 14.4201   0.828143 0.953119 0.13147 0.71437 0.951524 0.123311 0.711434
85 4.3994 -4.35961 -4.79732  8.75901 14.2422 13.4265 14.401   0.81566 0.951051 0.129643 0.713049 0.949579 0.121687 0.710128
86 4.36238 -4.24503 -4.81596  8.60741 14.2445 13.4411 14.3812   0.803471 0.948188 0.127 0.710041 0.946842 0.119263 0.707143
87 4.32478 -4.13626 -4.8312  8.46104 14.2469 13.4558 14.3611   0.791145 0.94475 0.123454 0.705324 0.943536 0.115952 0.702455
88 4.28592 -4.03353 -4.8457  8.31945 14.249 13.471 14.3404   0.778034 0.940883 0.119097 0.698998 0.939805 0.111845 0.696165
89 4.24356 -3.93635 -4.86405  8.17991 14.251 13.4873 14.3186   0.763641 0.936663 0.114165 0.691227 0.935726 0.107179 0.688438
90 4.19474 -3.84459 -4.89005  8.03933 14.2528 13.5048 14.2955   0.747916 0.932141 0.109004 0.682047 0.931345 0.102297 0.679309
91 4.13677 -3.75774 -4.92404  7.89451 14.2547 13.5232 14.2714   0.731438 0.927391 0.104042 0.671258 0.926735 0.0976278 0.668578
92 4.06864 -3.67426 -4.96207  7.74289 14.257 13.5416 14.247   0.71533 0.922548 0.0997605 0.658638 0.92203 0.0936517 0.656023
93 3.99227 -3.59275 -4.99781  7.58501 14.2598 13.559 14.2234   0.700848 0.917789 0.0965611 0.644274 0.917404 0.0907707 0.64173
94 3.91203 -3.51346 -5.02674  7.42549 14.2632 13.5745 14.2015   0.688721 0.913175 0.0945723 0.628548 0.912919 0.0891112 0.626079
95 3.83174 -3.43751 -5.04904  7.26925 14.267 13.588 14.1817   0.678965 0.908504 0.0935857 0.611875 0.908373 0.088463 0.609486
96 3.7518 -3.36577 -5.06878  7.11757 14.271 13.5997 14.1636   0.67128 0.903479 0.0932962 0.594508 0.903471 0.08852 0.592205
97 3.67031 -3.29912 -5.09109  6.96943 14.2753 13.6099 14.1468   0.665358 0.897937 0.0936614 0.576538 0.89805 0.0892398 0.574326
